step,lr-Adam,train_loss_step,epoch,val_MAPE,val_loss,val_SMAPE,val_MAE,val_RMSE,train_loss_epoch
0,0.1,,,,,,,,
49,,0.06106262281537056,0,,,,,,
99,,0.04970434308052063,0,,,,,,
149,,0.06034227833151817,0,,,,,,
199,,0.06081641837954521,0,,,,,,
249,,0.05915869399905205,0,,,,,,
299,,0.05567112937569618,0,,,,,,
349,,0.054338742047548294,0,,,,,,
399,,0.04609676077961922,0,,,,,,
449,,0.05928735062479973,0,,,,,,
499,,0.058561522513628006,0,,,,,,
549,,0.05154655873775482,0,,,,,,
599,,0.058145251125097275,0,,,,,,
608,,,0,0.6752123832702637,0.05296385660767555,0.4959982633590698,0.08444565534591675,0.13712580502033234,
608,,,0,,,,,,0.05325215309858322
609,0.1,,,,,,,,
649,,0.06848320364952087,1,,,,,,
699,,0.053459685295820236,1,,,,,,
