epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,,
0,,29,,,0.10058013795733989,1.5319571587038496,0.21911092455463752,0.5533608358795166,0.10036314490767236
0,,29,0.07412227064992169,,,,,,
,0.0001,30,,,,,,,
1,,49,,0.04901859327647038,,,,,
1,,59,,,0.100840766199274,1.202721354142028,0.22243109633077615,0.5492192072166389,0.0870195000039109
1,,59,0.058553660671591894,,,,,,
,0.0001,60,,,,,,,
2,,89,,,0.10190175667523728,1.0784724584322722,0.22522801437188789,0.5522536826350488,0.07741040304536294
2,,89,0.05023200093859363,,,,,,
,0.0001,90,,,,,,,
3,,99,,0.04964505293324696,,,,,
3,,119,,,0.1023635663774558,1.0550541782479663,0.22613966996137566,0.5543262276444583,0.07219915354422472
3,,119,0.0475188256484713,,,,,,
,0.0001,120,,,,,,,
4,,149,,0.04449183203582112,,,,,
4,,149,,,0.10269329298879894,1.0450115802768285,0.22657860640090507,0.5567080346830421,0.069149898471412
4,,149,0.046064401173729626,,,,,,
,0.0001,150,,,,,,,
5,,179,,,0.10287702786006321,1.0508782875152902,0.22669674096096404,0.5584161571259916,0.06727080756880358
5,,179,0.04573199660552371,,,,,,
,0.0001,180,,,,,,,
6,,199,,0.04709438589022666,,,,,
6,,209,,,0.10271494229258078,1.0649600230616736,0.22631818901487608,0.5578345122503484,0.06626192595686332
6,,209,0.045135458750646666,,,,,,
,0.0001,210,,,,,,,
7,,239,,,0.1029837639980557,1.0457353487153256,0.22665245192901215,0.5599613878928245,0.06567496535967729
7,,239,0.045443739543122544,,,,,,
,0.0001,240,,,,,,,
8,,249,,0.04457972280525777,,,,,
8,,269,,,0.10260991326567787,1.065503000934957,0.2260066992059259,0.5577720800917123,0.06532413677121417
8,,269,0.04507805146741677,,,,,,
,0.0001,270,,,,,,,
